"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95","values"
"2015.3945",23983.4390503442,21761.6623854746,26205.2157152139,20585.5248642026,27381.3532364858,2015-05-25
"2015.3973",23893.4009571834,21671.6242923138,26115.177622053,20495.4867710418,27291.315143325,2015-05-26
"2015.4000",23828.1599553376,21606.383290468,26049.9366202072,20430.245769196,27226.0741414792,2015-05-27
"2015.4027",23791.0067300241,21569.2300651545,26012.7833948938,20393.0925438825,27188.9209161658,2015-05-28
"2015.4055",23784.0100241751,21562.2333593055,26005.7866890448,20386.0958380335,27181.9242103168,2015-05-29
"2015.4082",23807.9903141837,21586.213649314,26029.7669790533,20410.0761280421,27205.9045003253,2015-05-30
"2015.4110",23862.5430558738,21640.7663910041,26084.3197207434,20464.6288697322,27260.4572420154,2015-05-31
"2015.4137",23946.1080363736,21724.331371504,26167.8847012432,20548.193850232,27344.0222225152,2015-06-01
"2015.4164",24056.079921163,21834.3032562933,26277.8565860326,20658.1657350214,27453.9941073046,2015-06-02
"2015.4192",24188.9539155636,21967.177250694,26410.7305804333,20791.039729422,27586.8681017052,2015-06-03
"2015.4219",24340.4995681516,22118.7229032819,26562.2762330212,20942.58538201,27738.4137542932,2015-06-04
"2015.4247",24505.9551223875,22284.1784575178,26727.7317872571,21108.0409362458,27903.8693085291,2015-06-05
"2015.4274",24680.2344591915,22458.4577943218,26902.0111240611,21282.3202730498,28078.1486453331,2015-06-06
"2015.4301",24858.1385523811,22636.3618875114,27079.9152172507,21460.2243662395,28256.0527385227,2015-06-07
"2015.4329",25034.5634668705,22812.7868020009,27256.3401317401,21636.6492807289,28432.4776530121,2015-06-08
"2015.4356",25204.6972547791,22982.9205899095,27426.4739196487,21806.7830686375,28602.6114409207,2015-06-09
"2015.4384",25364.1986384246,23142.421973555,27585.9753032942,21966.284452283,28762.1128245662,2015-06-10
"2015.4411",25509.3511048717,23287.5744400021,27731.1277697413,22111.4369187301,28907.2652910133,2015-06-11
"2015.4438",25637.186967626,23415.4103027564,27858.9636324956,22239.2727814844,29035.1011537676,2015-06-12
"2015.4466",25745.5770680148,23523.8004031451,27967.3537328844,22347.6628818732,29143.4912541564,2015-06-13
"2015.4493",25833.2830769989,23611.5064121293,28055.0597418685,22435.3688908573,29231.1972631405,2015-06-14
"2015.4521",25899.9707943632,23678.1941294936,28121.7474592328,22502.0566082216,29297.8849805048,2015-06-15
"2015.4548",25946.1843922891,23724.4077274195,28167.9610571587,22548.2702061475,29344.0985784307,2015-06-16
"2015.4575",25973.2831677713,23751.5065029017,28195.059832641,22575.3689816297,29371.1973539129,2015-06-17
"2015.4603",25983.3439942506,23761.567329381,28205.1206591202,22585.429808109,29381.2581803922,2015-06-18
"2015.4630",25979.0342270734,23757.2575622038,28200.810891943,22581.1200409318,29376.948413215,2015-06-19
"2015.4658",25963.4612415248,23741.6845766552,28185.2379063944,22565.5470553832,29361.3754276664,2015-06-20
"2015.4685",25940.0059837409,23718.2293188712,28161.7826486105,22542.0917975992,29337.9201698825,2015-06-21
"2015.4712",25912.1488128209,23690.3721479512,28133.9254776905,22514.2346266793,29310.0629989625,2015-06-22
"2015.4740",25883.2964336927,23661.5197688231,28105.0730985624,22485.3822475511,29281.2106198343,2015-06-23
"2015.4767",25856.6188058409,23634.8421409713,28078.3954707105,22458.7046196993,29254.5329919825,2015-06-24
"2015.4795",25834.9045245879,23613.1278597183,28056.6811894576,22436.9903384463,29232.8187107295,2015-06-25
"2015.4822",25820.4422969098,23598.6656320402,28042.2189617794,22422.5281107682,29218.3564830514,2015-06-26
"2015.4849",25814.9347903391,23593.1581254694,28036.7114552087,22417.0206041975,29212.8489764807,2015-06-27
"2015.4877",25819.4493708192,23597.6727059496,28041.2260356888,22421.5351846776,29217.3635569608,2015-06-28
"2015.4904",25834.4081444033,23612.6314795336,28056.1848092729,22436.4939582617,29232.3223305449,2015-06-29
"2015.4932",25859.6173881852,23637.8407233155,28081.3940530548,22461.7032020435,29257.5315743268,2015-06-30
"2015.4959",25894.3340310274,23672.5573661578,28116.110695897,22496.4198448858,29292.248217169,2015-07-01
"2015.4986",25937.3644737341,23715.5878088645,28159.1411386037,22539.4502875925,29335.2786598757,2015-07-02
"2015.5014",25987.1888772144,23765.4122123448,28208.965542084,22589.2746910728,29385.103063356,2015-07-03
"2015.5041",26042.1022479625,23820.3255830929,28263.8789128321,22644.1880618209,29440.0164341041,2015-07-04
"2015.5068",26100.3623500596,23878.58568519,28322.1390149293,22702.448163918,29498.2765362013,2015-07-05
"2015.5096",26160.3337835572,23938.5571186876,28382.1104484268,22762.4195974156,29558.2479696988,2015-07-06
"2015.5123",26220.6175671347,23998.8409022651,28442.3942320044,22822.7033809931,29618.5317532763,2015-07-07
"2015.5151",26280.1562823133,24058.3796174437,28501.9329471829,22882.2420961717,29678.0704684549,2015-07-08
"2015.5178",26338.3062636527,24116.5295987831,28560.0829285223,22940.3920775111,29736.2204497943,2015-07-09
"2015.5205",26394.8703913392,24173.0937264695,28616.6470562088,22996.9562051975,29792.7845774808,2015-07-10
"2015.5233",26450.0876488185,24228.3109839489,28671.8643136881,23052.1734626769,29848.0018349601,2015-07-11
"2015.5260",26504.5785956586,24282.801930789,28726.3552605282,23106.664409517,29902.4927818002,2015-07-12
"2015.5288",26559.2490877509,24337.4724228813,28781.0257526206,23161.3349016093,29957.1632738925,2015-07-13
"2015.5315",26615.1577438948,24393.3810790252,28836.9344087644,23217.2435577532,30013.0719300364,2015-07-14
"2015.5342",26673.3555913719,24451.5789265023,28895.1322562416,23275.4414052303,30071.2697775135,2015-07-15
"2015.5370",26734.7088107771,24512.9321459075,28956.4854756467,23336.7946246355,30132.6229969187,2015-07-16
"2015.5397",26799.7173504645,24577.9406855948,29021.4940153341,23401.8031643229,30197.6315366061,2015-07-17
"2015.5425",26868.343236976,24646.5665721063,29090.1199018456,23470.4290508344,30266.2574231176,2015-07-18
"2015.5452",26939.8625607086,24718.085895839,29161.6392255782,23541.948374567,30337.7767468502,2015-07-19
"2015.5479",27012.7543138454,24790.9776489758,29234.530978715,23614.8401277038,30410.668499987,2015-07-20
"2015.5507",27084.6375111603,24862.8608462907,29306.4141760299,23686.7233250187,30482.5516973019,2015-07-21
"2015.5534",27152.2654093247,24930.488744455,29374.0420741943,23754.3512231831,30550.1795954663,2015-07-22
"2015.5562",27211.5822943962,24989.8056295266,29433.3589592659,23813.6681082546,30609.4964805378,2015-07-23
"2015.5589",27257.844422748,25036.0677578784,29479.6210876176,23859.9302366064,30655.7586088896,2015-07-24
"2015.5616",27285.8025140191,25064.0258491495,29507.5791788887,23887.8883278775,30683.7167001607,2015-07-25
"2015.5644",27289.9389711972,25068.1623063276,29511.7156360668,23892.0247850556,30687.8531573388,2015-07-26
"2015.5671",27264.7490203147,25042.9723554451,29486.5256851844,23866.8348341731,30662.6632064563,2015-07-27
"2015.5699",27205.0514919837,24983.2748271141,29426.8281568533,23807.1373058421,30602.9656781253,2015-07-28
"2015.5726",27106.3122559763,24884.5355911067,29328.0889208459,23708.3980698347,30504.2264421179,2015-07-29
"2015.5753",26964.9615732279,24743.1849083582,29186.7382380975,23567.0473870863,30362.8757593695,2015-07-30
"2015.5781",26778.6859950664,24556.9093301968,29000.462659936,23380.7718089248,30176.600181208,2015-07-31
"2015.5808",26546.6759968993,24324.8993320297,28768.452661769,23148.7618107577,29944.5901830409,2015-08-01
"2015.5836",26269.8122873397,24048.03562247,28491.5889522093,22871.8981011981,29667.7264734813,2015-08-02
"2015.5863",25950.7766105245,23728.9999456549,28172.5532753942,22552.8624243829,29348.6907966661,2015-08-03
"2015.5890",25594.0767112709,23372.3000464012,27815.8533761405,22196.1625251292,28991.9908974125,2015-08-04
"2015.5918",25205.9797452484,22984.2030803788,27427.756410118,21808.0655591068,28603.89393139,2015-08-05
"2015.5945",24794.3535212137,22572.5768563441,27016.1301860833,21396.4393350721,28192.2677073553,2015-08-06
"2015.5973",24368.4202538321,22146.6435889624,26590.1969187017,20970.5060676905,27766.3344399737,2015-08-07
"2015.6000",23938.4326599465,21716.6559950769,26160.2093248161,20540.5184738049,27336.3468460881,2015-08-08
"2015.6027",23515.286927232,21293.5102623624,25737.0635921016,20117.3727410904,26913.2011133736,2015-08-09
"2015.6055",23110.0910244913,20888.3143596217,25331.867689361,19712.1768383497,26508.0052106329,2015-08-10
"2015.6082",22733.709753058,20511.9330881884,24955.4864179276,19335.7955669164,26131.6239391996,2015-08-11
"2015.6110",22396.3096646841,20174.5329998145,24618.0863295537,18998.3954785425,25794.2238508257,2015-08-12
"2015.6137",22106.927372011,19885.1507071414,24328.7040368807,18709.0131858694,25504.8415581527,2015-08-13
"2015.6164",21873.083814147,19651.3071492774,24094.8604790166,18475.1696280054,25270.9980002886,2015-08-14
"2015.6192",21700.464757803,19478.6880929334,23922.2414226727,18302.5505716614,25098.3789439446,2015-08-15
"2015.6219",21592.6843421834,19370.9076773138,23814.4610070531,18194.7701560418,24990.5985283251,2015-08-16
"2015.6247",21551.1440163668,19329.3673514971,23772.9206812364,18153.2298302252,24949.0582025084,2015-08-17
"2015.6274",21574.9940361671,19353.2173712974,23796.7707010367,18177.0798500255,24972.9082223087,2015-08-18
"2015.6301",21661.1990934597,19439.42242859,23882.9757583293,18263.2849073181,25059.1132796013,2015-08-19
"2015.6329",21804.7039800642,19582.9273151945,24026.4806449338,18406.7897939226,25202.6181662058,2015-08-20
"2015.6356",21998.6897798191,19776.9131149495,24220.4664446888,18600.7755936775,25396.6039659608,2015-08-21
"2015.6384",22234.9062581157,20013.1295932461,24456.6829229853,18836.9920719741,25632.8204442573,2015-08-22
"2015.6411",22504.0621615073,20282.2854966377,24725.8388263769,19106.1479753657,25901.9763476489,2015-08-23
"2015.6438",22796.2522789141,20574.4756140445,25018.0289437837,19398.3380927725,26194.1664650557,2015-08-24
"2015.6466",23101.3985083821,20879.6218435124,25323.1751732517,19703.4843222405,26499.3126945237,2015-08-25
"2015.6493",23409.6818981698,21187.9052333002,25631.4585630394,20011.7677120282,26807.5960843114,2015-08-26
"2015.6521",23711.9436836425,21490.1670187729,25933.7203485121,20314.0294975009,27109.8578697841,2015-08-27
"2015.6548",24000.0356356742,21778.2589708046,26221.8123005438,20602.1214495326,27397.9498218158,2015-08-28
"2015.6575",24267.1034103625,22045.3267454929,26488.8800752321,20869.1892242209,27665.0175965041,2015-08-29
"2015.6603",24507.7908184874,22286.0141536178,26729.5674833571,21109.8766323458,27905.705004629,2015-08-30
"2015.6630",24718.3577426614,22496.5810777918,26940.134407531,21320.4435565198,28116.271928803,2015-08-31
"2015.6658",24896.7095169734,22674.9328521038,27118.4861818431,21498.7953308318,28294.623703115,2015-09-01
"2015.6685",25042.3406346421,22820.5639697724,27264.1172995117,21644.4264485005,28440.2548207837,2015-09-02
"2015.6712",25156.2003605316,22934.423695662,27377.9770254012,21758.28617439,28554.1145466732,2015-09-03
"2015.6740",25240.4919235133,23018.7152586437,27462.2685883829,21842.5777373717,28638.4061096549,2015-09-04
"2015.6767",25298.4202208292,23076.6435559596,27520.1968856988,21900.5060346876,28696.3344069708,2015-09-05
"2015.6795",25333.9052145134,23112.1285496438,27555.6818793831,21935.9910283718,28731.8194006551,2015-09-06
"2015.6822",25351.2793386724,23129.5026738028,27573.056003542,21953.3651525308,28749.193524814,2015-09-07
"2015.6849",25354.9872388825,23133.2105740129,27576.7639037521,21957.0730527409,28752.9014250241,2015-09-08
"2015.6877",25349.3050761098,23127.5284112402,27571.0817409794,21951.3908899682,28747.2192622514,2015-09-09
"2015.6904",25338.0945590911,23116.3178942215,27559.8712239608,21940.1803729495,28736.0087452327,2015-09-10
"2015.6932",25324.6039898643,23102.8273249947,27546.380654734,21926.6898037227,28722.5181760059,2015-09-11
"2015.6959",25311.3251299581,23089.5484650885,27533.1017948277,21913.4109438165,28709.2393160997,2015-09-12
"2015.6986",25299.9108610313,23078.1341961617,27521.6875259009,21901.9966748897,28697.8250471729,2015-09-13
"2015.7014",25291.1546765346,23069.378011665,27512.9313414043,21893.240490393,28689.0688626762,2015-09-14
"2015.7041",25285.0292480316,23063.252583162,27506.8059129013,21887.11506189,28682.9434341732,2015-09-15
"2015.7068",25280.7778877464,23059.0012228767,27502.554552616,21882.8637016048,28678.692073888,2015-09-16
"2015.7096",25277.0498693317,23055.2732044621,27498.8265342014,21879.1356831901,28674.9640554733,2015-09-17
"2015.7123",25272.0684176259,23050.2917527562,27493.8450824955,21874.1542314843,28669.9826037675,2015-09-18
"2015.7151",25263.8188281682,23042.0421632986,27485.5954930378,21865.9046420266,28661.7330143098,2015-09-19
"2015.7178",25250.2436651439,23028.4670002742,27472.0203300135,21852.3294790023,28648.1578512855,2015-09-20
