"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95","values"
"2015.3096",34256.1411869564,31338.7665488347,37173.5158250782,29794.4017034583,38717.8806704546,2015-04-24
"2015.3123",34156.3505306975,31238.9758925757,37073.7251688192,29694.6110471993,38618.0900141956,2015-04-25
"2015.3151",34056.7013750849,31139.3267369632,36974.0760132066,29594.9618915868,38518.440858583,2015-04-26
"2015.3178",33956.2001982288,31038.825560107,36873.5748363505,29494.4607147306,38417.9396817269,2015-04-27
"2015.3205",33853.9105580827,30936.5359199609,36771.2851962044,29392.1710745845,38315.6500415808,2015-04-28
"2015.3233",33748.9704764208,30831.5958382991,36666.3451145426,29287.2309929227,38210.709959919,2015-04-29
"2015.3260",33640.6079375816,30723.2332994598,36557.9825757033,29178.8684540835,38102.3474210797,2015-04-30
"2015.3288",33528.1542764202,30610.7796382985,36445.5289145419,29066.4147929221,37989.8937599183,2015-05-01
"2015.3315",33411.0552744935,30493.6806363717,36328.4299126152,28949.3157909953,37872.7947579916,2015-05-02
"2015.3342",33288.8798301297,30371.5051920079,36206.2544682514,28827.1403466315,37750.6193136278,2015-05-03
"2015.3370",33161.326115809,30243.9514776872,36078.7007539307,28699.5866323108,37623.0655993071,2015-05-04
"2015.3397",33028.2251842825,30110.8505461607,35945.5998224042,28566.4857007843,37489.9646677806,2015-05-05
"2015.3425",32889.5420321989,29972.1673940772,35806.9166703206,28427.8025487008,37351.281515697,2015-05-06
"2015.3452",32745.3741758298,29827.9995377081,35662.7488139516,28283.6346923317,37207.113659328,2015-05-07
"2015.3479",32595.9478369802,29678.5731988584,35513.3224751019,28134.208353482,37057.6873204783,2015-05-08
"2015.3507",32441.6118775931,29524.2372394714,35358.9865157149,27979.872394095,36903.3513610912,2015-05-09
"2015.3534",32282.8296582452,29365.4550201235,35200.204296367,27821.0901747471,36744.5691417433,2015-05-10
"2015.3562",32120.1690280917,29202.79438997,35037.5436662135,27658.4295445936,36581.9085115899,2015-05-11
"2015.3589",31954.2906813866,29036.9160432648,34871.6653195083,27492.5511978885,36416.0301648847,2015-05-12
"2015.3616",31785.9351380819,28868.5604999601,34703.3097762036,27324.1956545838,36247.67462158,2015-05-13
