"","Prezzo","Consumi","Gradi","Consumiperc","Prezzoperc"
"26186",44.215,63318,9,-1.39384478144514,-6.01454653406561
"26187",38.92,58800,9,-11.9755739002601,-7.13541173126125
"26188",45.815,57167,4,17.7158273381295,-2.77721088435374
"26189",43.14,57628,2,-5.83869911601003,0.806409292074099
"26190",41.01,55742,2,-4.93741307371348,-3.27271465259943
"26191",37.01,54349,3,-9.75371860521824,-2.49901331132719
"26192",34.22,53044,3,-7.53850310726832,-2.40114813520028
"26193",32.775,53472,3,-4.2226767971946,0.806877309403514
"26194",39.56,54802,3,20.7017543859649,2.48728306403351
"26195",39.925,57443,3,0.922649140545993,4.81916718367943
"26196",39.81,63421,3,-0.288040075140876,10.4068380829692
"26197",51.95,70541,3,30.4948505400653,11.2265653332492
"26198",53.51,74168,3,3.00288739172281,5.14169064799195
"26199",50.465,75854,4,-5.6905251354887,2.27321756013375
"26200",51.035,76660,4,1.12949569008222,1.06256756400454
"26201",49.375,76158,4,-3.25266973645537,-0.654839551265327
"26202",48.005,76212,4,-2.77468354430381,0.0709052233514536
"26203",57.115,78074,3,18.9771898760546,2.44318480029392
"26204",60.96,84966,1,6.73203186553443,8.82752260675769
"26205",70.05,88626,2,14.9114173228347,4.30760539509922
"26206",60.905,87119,2,-13.0549607423269,-1.70040394466635
"26207",48.455,83009,2,-20.4416714555455,-4.7176850055671
"26208",47.375,78799,2,-2.22887214941698,-5.07173920900143
"26209",45.055,73689,2,-4.89709762532982,-6.48485386870392
"26210",44.275,68629,2,-1.73121740095438,-6.86669652186894
"26211",38.215,62705,2,-13.6871823828346,-8.63191945096096
"26212",41.255,60620,2,7.95499149548606,-3.32509369268798
"26213",40.195,60132,1,-2.56938552902679,-0.805014846585285
"26214",37.65,59513,2,-6.33163328772236,-1.02940198230559
"26215",35.59,58590,1,-5.47144754316068,-1.55092164737116
"26216",31.685,57028,2,-10.9721831975274,-2.66598395630654
"26217",31.39,56313,1,-0.931039924254384,-1.25377007785649
"26218",36.09,57304,1,14.9729213125199,1.75980679416831
"26219",36.21,58595,1,0.332502078137981,2.25289683093676
"26220",37.62,62853,1,3.89395194697596,7.26683164092499
"26221",42.335,69060,2,12.5332270069112,9.87542360746504
"26222",44.66,73608,4,5.49190976733198,6.58557775847089
"26223",45.145,75469,5,1.08598298253471,2.52825779806543
"26224",47.69,76300,5,5.63739063019161,1.10111436483854
"26225",46.755,75602,6,-1.96057873768086,-0.91480996068152
"26226",45.61,75597,5,-2.44893594267992,-0.00661358165127907
