"","tot.Prezzo","tot.Consumi","tot.Gradi","tot.Consumiperc","tot.Prezzoperc","dummy_ts_ita.BankHoliday","dummy_ts_ita.EndYear","dummy_ts_ita.AugustBorder","dummy_ts_ita.AugustCenter","dummy_ts_ita.DayOfWeek","dummy_ts_ita.DayOff"
"210",98.81,45348.63,6,6.0319629973511,4.48345141165275,0,0,0,0,0,0
"211",96.48,44814.23,5,-1.17842589732037,-2.35806092500759,0,0,0,0,0,0
"212",95.59,43773.58,6,-2.32214187323982,-0.922470978441128,0,0,0,0,0,0
"213",91.87,41511.25,4,-5.16825445851128,-3.89162046239146,0,0,0,0,0,0
"214",86.74,38658.91,3,-6.87124574663494,-5.58397735931208,0,0,0,0,0,0
"215",78.8,34650.17,3,-10.3695111941853,-9.15379294443163,0,0,0,0,0,0
"216",64.68,31053.61,1,-10.379631615083,-17.9187817258883,0,0,0,0,0,0
"217",44.04,28142.33,2,-9.37501308221491,-31.9109461966605,0,0,0,0,0,0
"218",38.67,26376.09,0,-6.27609725278611,-12.1934604904632,0,0,0,0,0,0
"219",34.69,25404.23,0,-3.68462497663604,-10.2922161882596,0,0,0,0,0,0
"220",32.47,25119,-1,-1.12276577562083,-6.39953877198039,0,0,0,0,0,0
"221",33.54,25308.9,-2,0.756001433178078,3.29534955343394,0,0,0,0,0,0
"222",41.21,26758.69,-1,5.72838013505129,22.8682170542636,0,0,0,0,0,0
"223",72.03,31376.22,2,17.2561885503364,74.7876728949284,0,0,0,0,0,0
"224",89.1,37978.55,0,21.0424646436059,23.6984589754269,0,0,0,0,0,0
"225",93.8,42469.77,0,11.825675282495,5.27497194163861,0,0,0,0,0,0
"226",92.58,43806.27,2,3.14694428531165,-1.30063965884861,0,0,0,0,0,0
"227",90.12,43750.04,5,-0.128360620523035,-2.65716137394685,0,0,0,0,0,0
"228",88.49,43353.39,7,-0.906627742511782,-1.80869951176211,0,0,0,0,0,0
"229",80.12,40668.6,9,-6.19280291575815,-9.45869589784155,0,0,0,0,0,0
"230",79.24,40051.87,11,-1.5164770855156,-1.09835247129307,0,0,0,0,0,0
"231",84.74,41310.64,13,3.14284950989803,6.94093891973751,0,0,0,0,0,0
"232",87.78,41925.45,13,1.48826065149317,3.58744394618835,0,0,0,0,0,0
"233",92.07,43532.74,11,3.83368574457758,4.88721804511277,0,0,0,0,0,0
"234",112.56,46225.94,9,6.18660805637321,22.2548061257739,0,0,0,0,0,0
"235",110.21,45669.8,7,-1.20309073217332,-2.08777540867094,0,0,0,0,0,0
"236",98.94,44519.9,4,-2.51785643904725,-10.2259323110426,0,0,0,0,0,0
"237",94.77,42180.51,4,-5.25470632234124,-4.21467556094603,0,0,0,0,0,0
"238",92.75,39256.63,4,-6.93182704523962,-2.13147620555028,0,0,0,0,0,0
"239",80.07,35153.37,4,-10.4524000149783,-13.6711590296496,0,0,0,0,0,0
