"","date"
"1075","2014-12-11"
"1076","2014-12-12"
"1077","2014-12-13"
"1078","2014-12-14"
"1079","2014-12-15"
"1080","2014-12-16"
"1081","2014-12-17"
"1082","2014-12-18"
"1083","2014-12-19"
"1084","2014-12-20"
"1085","2014-12-21"
"1086","2014-12-22"
"1087","2014-12-23"
"1088","2014-12-24"
"1089","2014-12-25"
"1090","2014-12-26"
"1091","2014-12-27"
"1092","2014-12-28"
"1093","2014-12-29"
"1094","2014-12-30"
"1095","2014-12-31"
"1096","2015-01-01"
"1097","2015-01-02"
"1098","2015-01-03"
"1099","2015-01-04"
"1100","2015-01-05"
"1101","2015-01-06"
"1102","2015-01-07"
"1103","2015-01-08"
"1104","2015-01-09"
"1105","2015-01-10"
"1106","2015-01-11"
"1107","2015-01-12"
"1108","2015-01-13"
"1109","2015-01-14"
"1110","2015-01-15"
"1111","2015-01-16"
"1112","2015-01-17"
"1113","2015-01-18"
"1114","2015-01-19"
"1115","2015-01-20"
"1116","2015-01-21"
"1117","2015-01-22"
"1118","2015-01-23"
"1119","2015-01-24"
"1120","2015-01-25"
"1121","2015-01-26"
"1122","2015-01-27"
"1123","2015-01-28"
"1124","2015-01-29"
"1125","2015-01-30"
"1126","2015-01-31"
"1127","2015-02-01"
"1128","2015-02-02"
"1129","2015-02-03"
"1130","2015-02-04"
"1131","2015-02-05"
"1132","2015-02-06"
"1133","2015-02-07"
"1134","2015-02-08"
"1135","2015-02-09"
"1136","2015-02-10"
"1137","2015-02-11"
"1138","2015-02-12"
"1139","2015-02-13"
"1140","2015-02-14"
"1141","2015-02-15"
"1142","2015-02-16"
"1143","2015-02-17"
"1144","2015-02-18"
"1145","2015-02-19"
"1146","2015-02-20"
"1147","2015-02-21"
"1148","2015-02-22"
"1149","2015-02-23"
"1150","2015-02-24"
"1151","2015-02-25"
"1152","2015-02-26"
"1153","2015-02-27"
"1154","2015-02-28"
"1155","2015-03-01"
"1156","2015-03-02"
"1157","2015-03-03"
"1158","2015-03-04"
"1159","2015-03-05"
"1160","2015-03-06"
"1161","2015-03-07"
"1162","2015-03-08"
"1163","2015-03-09"
"1164","2015-03-10"
"1165","2015-03-11"
"1166","2015-03-12"
"1167","2015-03-13"
"1168","2015-03-14"
"1169","2015-03-15"
"1170","2015-03-16"
"1171","2015-03-17"
"1172","2015-03-18"
"1173","2015-03-19"
"1174","2015-03-20"
"1175","2015-03-21"
"1176","2015-03-22"
"1177","2015-03-23"
"1178","2015-03-24"
"1179","2015-03-25"
"1180","2015-03-26"
"1181","2015-03-27"
"1182","2015-03-28"
"1183","2015-03-29"
"1184","2015-03-30"
"1185","2015-03-31"
"1186","2015-04-01"
"1187","2015-04-02"
"1188","2015-04-03"
"1189","2015-04-04"
"1190","2015-04-05"
"1191","2015-04-06"
"1192","2015-04-07"
"1193","2015-04-08"
"1194","2015-04-09"
"1195","2015-04-10"
"1196","2015-04-11"
"1197","2015-04-12"
"1198","2015-04-13"
"1199","2015-04-14"
"1200","2015-04-15"
"1201","2015-04-16"
"1202","2015-04-17"
"1203","2015-04-18"
"1204","2015-04-19"
"1205","2015-04-20"
"1206","2015-04-21"
"1207","2015-04-22"
"1208","2015-04-23"
"1209","2015-04-24"
"1210","2015-04-25"
"1211","2015-04-26"
"1212","2015-04-27"
"1213","2015-04-28"
"1214","2015-04-29"
"1215","2015-04-30"
"1216","2015-05-01"
"1217","2015-05-02"
"1218","2015-05-03"
"1219","2015-05-04"
"1220","2015-05-05"
"1221","2015-05-06"
"1222","2015-05-07"
"1223","2015-05-08"
"1224","2015-05-09"
"1225","2015-05-10"
"1226","2015-05-11"
"1227","2015-05-12"
"1228","2015-05-13"
"1229","2015-05-14"
"1230","2015-05-15"
"1231","2015-05-16"
"1232","2015-05-17"
"1233","2015-05-18"
"1234","2015-05-19"
"1235","2015-05-20"
"1236","2015-05-21"
"1237","2015-05-22"
"1238","2015-05-23"
"1239","2015-05-24"
"1240","2015-05-25"
"1241","2015-05-26"
"1242","2015-05-27"
"1243","2015-05-28"
"1244","2015-05-29"
"1245","2015-05-30"
"1246","2015-05-31"
"1247","2015-06-01"
"1248","2015-06-02"
