DateYYYYMMDD,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
20131231,21789.924,20808.325,20064.53,19779.617,19913.299,20944.252,22827.915,25705.815,28296.007,29950.121,29744.207,29591.401,28693.278,27864.983,28479.914,28890.383,30383.168,34907.629,35194.996,33913.108,31381.582,28861.042,26345.88,24268.949
20140101,22259.62,21459.763,20315.622,19231.208,18975.601,19253.007,19893.947,20434.779,20766.654,22037.404,23117.5,24019.677,24108.708,23007.923,22488.629,22652.473,23981.944,27634.386,28855.194,29185.569,28557.554,27298.261,24956.237,22422.63
20140102,21490.141,20017.133,19364.255,19197.617,19330.184,20159.935,23867.755,28183.573,31467.739,33769.608,34309.24,34039.684,32967.307,31823.824,32223.953,32911.557,34339.297,37534.912,37665.255,37136.838,35059.85,32442.705,28980.7,25660.042
20140103,22830.382,21446.491,20545.577,20341.305,20373.347,21252.564,24626.1,28956.002,32183.954,34172.79,34322.859,33936.966,32462.926,31321.347,31660.329,32198.074,33982.031,37582.084,37666.761,37124.903,34745.828,32193.636,28863.807,25696.991
20140104,23194.272,21748.122,20619.21,20208.947,20170.609,20674.761,22835.633,25520.779,27511.749,30085.176,30427.826,29904.285,29080.277,27673.138,27285.348,27736.501,29149.416,33683.664,34534.705,34447.209,32365.282,30261.346,27709.379,25118.114
20140105,23525.989,22230.485,21163.139,20595.87,20389.627,20807.844,21894.782,22703.793,23503.609,25965.188,26813.209,27350.221,27199.175,25847.61,25334.161,25867.845,27033.538,30574.895,31424.293,32131.517,31282.589,29750.643,27134.029,24678.558
20140106,22498.992,20805.899,20105.157,19643.494,19507.727,19947.473,21027.264,22491.948,23521.695,25798.425,26927.457,27193.97,26815.709,25520.806,24956.631,25425.011,26577.772,30416.618,31362.489,31896.749,30920.765,29105.046,26586.258,24301.024
20140107,23027.828,21544.313,20597.712,20348.767,20624.859,22349.181,27448.241,33423.638,37767.91,39997.357,40513.922,40013.762,38056.018,37354.605,38362.219,39389.588,40699.634,43083.456,42344.383,41191.966,39024.901,36202.147,32369.342,29106.948
20140108,26370.959,24732.114,23861.892,23659.552,23903.148,25280.268,29886.508,35538.89,39792.231,41713.049,42022.335,41617.024,39178.358,38500.649,39330.226,40187.362,41379.764,43725.925,42570.849,41407.333,39278.67,36320.496,32362.007,29164.598
20140109,26833.648,24976.965,24098.209,23806.04,23958.153,25262.97,29707.952,35875.084,40200.212,42091.486,42111.401,41440.505,38797.634,38012.986,38813.827,39680.388,41265.921,43868.68,42970.408,42051.736,39789.349,36600.793,32565.207,29492.824
20140110,26630.628,25172.154,24563.741,24475.059,24564.665,25872.009,29679.623,36214.566,40616.358,42344.051,41876.991,41003.721,38411.547,37821.869,38590.99,39523.532,40667.25,43433.416,42803.641,41566.606,39248.405,36373.292,32579.44,29231.896
20140111,26385.921,24927.084,24043.295,23465.789,23366.242,24067.313,26028.277,30021.481,32487.652,34342.513,34343.457,33390.696,31749.728,30024.906,29801.547,30077.133,31415.291,35194.32,36590.339,36634.705,34590.082,31998.196,29249.557,26335.711
20140112,24411.392,22551.911,21641.431,21355.927,21248.991,21584.667,22469.541,24583.76,26164.509,28497.182,29259.295,29772.64,29345.345,27560.379,27185.928,27334.01,27834.086,31312.534,32711.035,33321.509,32389.178,30698.965,28072.518,25486.119
20140113,23614.412,22253.183,21924.366,21800.618,22257.347,23936.091,28626.771,36155.001,40609.396,42383.998,42147.638,41668.492,39354.652,38905.912,40105.296,40560.991,41122.232,43889.375,43596.802,42275.758,39818.568,36915.528,32804.492,29309.456
20140114,26515.405,25082.748,24745.895,24517.584,24755.859,25802.479,30042.85,37689.941,42202.091,43702.427,43396.324,42595.067,39486.321,38900.541,40292.295,41203.393,42277.517,44897.78,44332.126,43065.373,40196.3,37316.268,32981.443,29689.6
20140115,26784.397,25278.668,25245.431,24889.654,25146.754,26562.332,31195.181,37445.188,42021.85,44125.722,43804.584,42936.377,40178.413,39619.494,40494.584,41428.98,42002.636,45094.811,44594.143,42973.277,40416.381,37738.643,33730.045,30221.194
20140116,27323.917,25321.012,25221.263,24972.593,25126.438,26734.812,31464.574,37690.928,42102.469,44034.474,43746.144,42738.106,40185.977,39515.75,40693.144,41291.793,42090.743,45291.281,44312.67,42655.334,40049.286,37719.085,33736.46,30899.216
